<<<<<<< HEAD
user_id,status,risk_score,risk_level,risk_factors_count,confidence
3,LOW,0,低風險,0,0.7
10,LOW,0,低風險,0,0.7
98,LOW,0,低風險,0,0.7
139,MEDIUM,35,中度風險,2,0.7
185,LOW,0,低風險,0,0.7
218,LOW,0,低風險,0,0.7
241,LOW,0,低風險,0,0.7
276,LOW,0,低風險,0,0.7
373,HIGH,55,高風險,3,0.7
397,HIGH,50,高風險,3,0.7
500,MEDIUM,35,中度風險,2,0.7
505,LOW,0,低風險,0,0.7
506,MEDIUM,35,中度風險,2,0.7
572,LOW,0,低風險,0,0.7
577,LOW,0,低風險,0,0.7
778,CRITICAL,100,極高風險,6,0.7
813,LOW,0,低風險,0,0.7
917,CRITICAL,70,極高風險,4,0.7
935,LOW,0,低風險,0,0.7
1097,MEDIUM,35,中度風險,2,0.7
1303,LOW,0,低風險,0,0.7
1331,LOW,0,低風險,0,0.7
1333,LOW,0,低風險,0,0.7
1339,LOW,0,低風險,0,0.7
1364,CRITICAL,100,極高風險,6,0.7
1372,LOW,0,低風險,0,0.7
1400,LOW,15,低風險,1,0.7
1442,LOW,0,低風險,0,0.7
1568,LOW,0,低風險,0,0.7
1659,LOW,0,低風險,0,0.7
1663,LOW,0,低風險,0,0.7
1681,LOW,0,低風險,0,0.7
1718,LOW,0,低風險,0,0.7
1767,MEDIUM,35,中度風險,2,0.7
1827,LOW,0,低風險,0,0.7
1858,LOW,0,低風險,0,0.7
1980,LOW,0,低風險,0,0.7
1987,LOW,0,低風險,0,0.7
2010,CRITICAL,100,極高風險,6,0.7
2028,CRITICAL,100,極高風險,6,0.7
2043,CRITICAL,100,極高風險,6,0.7
2057,MEDIUM,30,中度風險,2,0.7
2085,LOW,0,低風險,0,0.7
2182,LOW,0,低風險,0,0.7
2256,MEDIUM,35,中度風險,2,0.7
2306,MEDIUM,35,中度風險,2,0.7
2359,CRITICAL,85,極高風險,5,0.7
2439,LOW,0,低風險,0,0.7
2461,LOW,0,低風險,0,0.7
2650,LOW,0,低風險,0,0.7
2655,MEDIUM,35,中度風險,2,0.7
2681,CRITICAL,100,極高風險,6,0.7
2710,LOW,0,低風險,0,0.7
2715,LOW,0,低風險,0,0.7
2733,LOW,0,低風險,0,0.7
2786,MEDIUM,35,中度風險,2,0.7
2846,CRITICAL,100,極高風險,6,0.7
2874,LOW,0,低風險,0,0.7
2879,LOW,0,低風險,0,0.7
2953,LOW,0,低風險,0,0.7
2973,LOW,0,低風險,0,0.7
2994,HIGH,50,高風險,3,0.7
3054,LOW,0,低風險,0,0.7
3056,LOW,0,低風險,0,0.7
3082,LOW,0,低風險,0,0.7
3240,LOW,20,低風險,1,0.7
3265,LOW,0,低風險,0,0.7
3415,CRITICAL,85,極高風險,5,0.7
3456,LOW,15,低風險,1,0.7
3480,LOW,0,低風險,0,0.7
3502,LOW,0,低風險,0,0.7
3553,CRITICAL,100,極高風險,6,0.7
3565,LOW,0,低風險,0,0.7
3567,LOW,0,低風險,0,0.7
3615,LOW,0,低風險,0,0.7
3617,MEDIUM,35,中度風險,2,0.7
3631,LOW,15,低風險,1,0.7
3730,MEDIUM,35,中度風險,2,0.7
3784,LOW,0,低風險,0,0.7
3808,LOW,15,低風險,1,0.7
3857,LOW,0,低風險,0,0.7
3895,LOW,0,低風險,0,0.7
3934,LOW,0,低風險,0,0.7
3942,LOW,0,低風險,0,0.7
4001,LOW,0,低風險,0,0.7
4045,LOW,0,低風險,0,0.7
4047,LOW,0,低風險,0,0.7
4199,LOW,0,低風險,0,0.7
4234,LOW,0,低風險,0,0.7
4282,CRITICAL,100,極高風險,6,0.7
4358,LOW,0,低風險,0,0.7
4543,LOW,0,低風險,0,0.7
4574,CRITICAL,85,極高風險,5,0.7
4637,LOW,0,低風險,0,0.7
4650,LOW,0,低風險,0,0.7
4676,MEDIUM,35,中度風險,2,0.7
4683,LOW,20,低風險,1,0.7
4724,LOW,0,低風險,0,0.7
4764,CRITICAL,100,極高風險,6,0.7
=======
user_id,status,risk_score,risk_level,risk_factors_count,confidence
3,LOW,0,低風險,0,0.7
10,LOW,0,低風險,0,0.7
98,LOW,0,低風險,0,0.7
139,MEDIUM,35,中度風險,2,0.7
185,LOW,0,低風險,0,0.7
218,LOW,0,低風險,0,0.7
241,LOW,0,低風險,0,0.7
276,LOW,0,低風險,0,0.7
373,HIGH,55,高風險,3,0.7
397,HIGH,50,高風險,3,0.7
500,MEDIUM,35,中度風險,2,0.7
505,LOW,0,低風險,0,0.7
506,MEDIUM,35,中度風險,2,0.7
572,LOW,0,低風險,0,0.7
577,LOW,0,低風險,0,0.7
778,CRITICAL,100,極高風險,6,0.7
813,LOW,0,低風險,0,0.7
917,CRITICAL,70,極高風險,4,0.7
935,LOW,0,低風險,0,0.7
1097,MEDIUM,35,中度風險,2,0.7
1303,LOW,0,低風險,0,0.7
1331,LOW,0,低風險,0,0.7
1333,LOW,0,低風險,0,0.7
1339,LOW,0,低風險,0,0.7
1364,CRITICAL,100,極高風險,6,0.7
1372,LOW,0,低風險,0,0.7
1400,LOW,15,低風險,1,0.7
1442,LOW,0,低風險,0,0.7
1568,LOW,0,低風險,0,0.7
1659,LOW,0,低風險,0,0.7
1663,LOW,0,低風險,0,0.7
1681,LOW,0,低風險,0,0.7
1718,LOW,0,低風險,0,0.7
1767,MEDIUM,35,中度風險,2,0.7
1827,LOW,0,低風險,0,0.7
1858,LOW,0,低風險,0,0.7
1980,LOW,0,低風險,0,0.7
1987,LOW,0,低風險,0,0.7
2010,CRITICAL,100,極高風險,6,0.7
2028,CRITICAL,100,極高風險,6,0.7
2043,CRITICAL,100,極高風險,6,0.7
2057,MEDIUM,30,中度風險,2,0.7
2085,LOW,0,低風險,0,0.7
2182,LOW,0,低風險,0,0.7
2256,MEDIUM,35,中度風險,2,0.7
2306,MEDIUM,35,中度風險,2,0.7
2359,CRITICAL,85,極高風險,5,0.7
2439,LOW,0,低風險,0,0.7
2461,LOW,0,低風險,0,0.7
2650,LOW,0,低風險,0,0.7
2655,MEDIUM,35,中度風險,2,0.7
2681,CRITICAL,100,極高風險,6,0.7
2710,LOW,0,低風險,0,0.7
2715,LOW,0,低風險,0,0.7
2733,LOW,0,低風險,0,0.7
2786,MEDIUM,35,中度風險,2,0.7
2846,CRITICAL,100,極高風險,6,0.7
2874,LOW,0,低風險,0,0.7
2879,LOW,0,低風險,0,0.7
2953,LOW,0,低風險,0,0.7
2973,LOW,0,低風險,0,0.7
2994,HIGH,50,高風險,3,0.7
3054,LOW,0,低風險,0,0.7
3056,LOW,0,低風險,0,0.7
3082,LOW,0,低風險,0,0.7
3240,LOW,20,低風險,1,0.7
3265,LOW,0,低風險,0,0.7
3415,CRITICAL,85,極高風險,5,0.7
3456,LOW,15,低風險,1,0.7
3480,LOW,0,低風險,0,0.7
3502,LOW,0,低風險,0,0.7
3553,CRITICAL,100,極高風險,6,0.7
3565,LOW,0,低風險,0,0.7
3567,LOW,0,低風險,0,0.7
3615,LOW,0,低風險,0,0.7
3617,MEDIUM,35,中度風險,2,0.7
3631,LOW,15,低風險,1,0.7
3730,MEDIUM,35,中度風險,2,0.7
3784,LOW,0,低風險,0,0.7
3808,LOW,15,低風險,1,0.7
3857,LOW,0,低風險,0,0.7
3895,LOW,0,低風險,0,0.7
3934,LOW,0,低風險,0,0.7
3942,LOW,0,低風險,0,0.7
4001,LOW,0,低風險,0,0.7
4045,LOW,0,低風險,0,0.7
4047,LOW,0,低風險,0,0.7
4199,LOW,0,低風險,0,0.7
4234,LOW,0,低風險,0,0.7
4282,CRITICAL,100,極高風險,6,0.7
4358,LOW,0,低風險,0,0.7
4543,LOW,0,低風險,0,0.7
4574,CRITICAL,85,極高風險,5,0.7
4637,LOW,0,低風險,0,0.7
4650,LOW,0,低風險,0,0.7
4676,MEDIUM,35,中度風險,2,0.7
4683,LOW,20,低風險,1,0.7
4724,LOW,0,低風險,0,0.7
4764,CRITICAL,100,極高風險,6,0.7
>>>>>>> 3ed03a3 (Initial commit)
